method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
method1,4,100,0.0001306204274961991,0.00010539871332834341,0.002945382145948575
method2,4,100,0.00012116228962051017,8.911585609894246e-05,0.0030578542854137985
method1,4,100,0.00013020157140480087,0.00010415128157806716,0.002940772714542358
method2,4,100,0.00011715200214114572,8.817785835292722e-05,0.003056008574536203
method1,4,100,0.00012932385392819664,0.00010538871408373649,0.0029145629980900723
method2,4,100,0.00012179085544110941,8.932528726290911e-05,0.0030389575715941775
method1,6,100,0.00013707571529916355,0.00012484399693286314,0.002921317142733772
method2,6,100,0.00012900457243501608,9.610985580366105e-05,0.003066165146135193
method1,6,100,0.0001369961433478498,0.00011869799761500741,0.0029418201426908907
method2,6,100,0.00012839600094594061,0.00010670571438302951,0.003078776430421775
method1,6,100,0.00013780457084067166,0.00011784985794552736,0.002912178142910956
method2,6,100,0.00012362685603355722,9.544128053156393e-05,0.0030870277135233793
method1,8,100,0.00014885928456871106,0.00013265599929062382,0.0029133258587015526
method2,8,100,0.00013730528631380627,0.00010743385895953647,0.0031461420024113196
method1,8,100,0.00015004599949211946,0.000138742001061993,0.002908925428138381
method2,8,100,0.0001378044336368995,0.00011350999661122582,0.003088853571430913
method1,8,100,0.0001474524282717279,0.00013678671218388314,0.002882855285341585
method2,8,100,0.00014017871373133467,9.968157142533787e-05,0.0030782675728135344
method1,10,100,0.00017453000015978302,0.00017066914214020862,0.002888821714025523
method2,10,100,0.00014102700099881207,0.00011022757098544389,0.003197813855617174
method1,10,100,0.00017742328470506306,0.00016389456868637353,0.0029678405719875756
method2,10,100,0.0001398097145803539,0.00011037700252407896,0.0031571367185928728
method1,10,100,0.00016651857004035264,0.000157758712053432,0.002886826284728678
method2,10,100,0.00015009628467461362,0.0001116239997957434,0.003220072573250426
method1,12,100,0.00016607928513881883,0.000157908139434377,0.0029229334239581867
method2,12,100,0.00015406714270024428,0.00011516600248536893,0.0032516902865609154
method1,12,100,0.00017830157386405126,0.00015878628723190298,0.002926495290012099
method2,12,100,0.00014846999796905687,0.00011582443091486181,0.003252298999411453
method1,12,100,0.00016325614082493952,0.0001662091422726267,0.0029138442893911687
method2,12,100,0.00014914842904545367,0.00011612400287828808,0.0032294512846939532
method1,14,100,0.0001639145754909675,0.0001618194260767528,0.002907498856075108
method2,14,100,0.0001497569984556841,0.00012566214510505752,0.003329491999465972
method1,14,100,0.0001717567169440112,0.00015922528733166734,0.002913415714699243
method2,14,100,0.0001703195718749027,0.00013678671218388314,0.003369191141765831
method1,14,100,0.00016445328323503157,0.00015422685828525573,0.00286760028185589
method2,14,100,0.00014786128927620927,0.00013524014086994742,0.0032868197179465953
method1,16,100,0.000218619143457285,0.00024463942931366285,0.0029049247137403916
method2,16,100,0.00015724985860288143,0.00013292528663961484,0.0034059267116910113
method1,16,100,0.00020846228497768088,0.0002256128562813891,0.002883992571566653
method2,16,100,0.00016244799813388715,0.00013074057226601456,0.003368163568666205
method1,16,100,0.00022352771442716142,0.00025305999900280895,0.0029224845701329677
method2,16,100,0.00016250756743829697,0.000132057281527003,0.0033939741468722267
method1,18,100,0.00022040528503047035,0.00023685756813003018,0.002878026712486254
method2,18,100,0.00016577014009401734,0.00013730542559642345,0.0033951415701137322
method1,18,100,0.00021198414158009524,0.00022608228651474098,0.002910362429767182
method2,18,100,0.00016197856997938028,0.00013581884975012924,0.003391130717188519
method1,18,100,0.0002115554317632424,0.00023347514382164394,0.002922684288932942
method2,18,100,0.0001682945730863139,0.00013501056777645966,0.0035665785731647964
method1,20,100,0.0002158451409611319,0.000234961711352558,0.0028975614217675422
method2,20,100,0.00016683757296829884,0.00013657699829699204,0.0034242850004894926
method1,20,100,0.00020758443445499455,0.00022266985615715384,0.0028829747149887097
method2,20,100,0.00016563071195767925,0.000137455141936828,0.003424055427396005
method1,20,100,0.00020684614719357342,0.0002557437151803502,0.002946699140011333
method2,20,100,0.0001646429965538638,0.00013758471634771143,0.0034373250029083075
method1,4,1000,0.0015038547114402587,0.0009415228601678141,0.002926684997094396
method2,4,1000,0.0011664377151256694,0.0008691687170150024,0.0030730795697309077
method1,4,1000,0.001451863711866151,0.0009488362889637106,0.002915869716421834
method2,4,1000,0.0011713761445467494,0.0008790561405476183,0.003054472428630106
method1,4,1000,0.0014819447138246947,0.000956229426914693,0.0029473475691962187
method2,4,1000,0.0011820917134173214,0.0008807519999598819,0.0030883944252439377
method1,6,1000,0.0016878830002886908,0.0010799755712339123,0.002993741284756522
method2,6,1000,0.0012586365732464141,0.000935357143004824,0.003200806860279824
method1,6,1000,0.0018090055735748528,0.0010924570004655315,0.00294002442803633
method2,6,1000,0.0012198351427546836,0.0009390484275562423,0.00314708000223618
method1,6,1000,0.001682575000034246,0.001080384712882473,0.0028990382831709993
method2,6,1000,0.001238432717010645,0.0009410240018041804,0.0031136764300754294
method1,8,1000,0.0018926438559511943,0.0012356892860095417,0.002888442570110783
method2,8,1000,0.0014117252846647585,0.0010661874340647565,0.003442832426766732
method1,8,1000,0.0018575044273997524,0.001205328427853861,0.002882226713284451
method2,8,1000,0.001274979003937915,0.000996407144287202,0.003105026428654258
method1,8,1000,0.0018663438573379868,0.0012131605721411429,0.0028868960008756922
method2,8,1000,0.0012703694311702357,0.0010011462831503845,0.0031250004332313047
method1,10,1000,0.002338592426635192,0.001511537000104519,0.0029647577175637707
method2,10,1000,0.0014005414289256027,0.0010778407158795744,0.003225779574547362
method1,10,1000,0.0023113245697459206,0.0014760384302852409,0.0030120791426660226
method2,10,1000,0.0013903545727121777,0.0010766732864015336,0.003216201568388247
method1,10,1000,0.0024381540008887115,0.001470301572615946,0.0031022025692176874
method2,10,1000,0.001356013146245719,0.0010574774288605632,0.0031447352833181086
method1,12,1000,0.0025109277152556126,0.0014910040003347344,0.0029568461406077923
method2,12,1000,0.001523749144065992,0.0011879282849674513,0.003525982141062351
method1,12,1000,0.0023833794278159204,0.0014827431420729096,0.0029386374330247884
method2,12,1000,0.0014303930012309657,0.0011407565678902237,0.0032393188573353526
method1,12,1000,0.0023038418605990174,0.0014969802848229716,0.0029247192890449825
method2,12,1000,0.0014271205706921006,0.00113542857122541,0.0032489865739730056
method1,14,1000,0.0024287058580999394,0.0015114374296639913,0.0029736375748013544
method2,14,1000,0.0014860155705329297,0.00121448771512535,0.0033311781444353983
method1,14,1000,0.0023253624323323102,0.0015053511430908526,0.0029504207133348764
method2,14,1000,0.0014900662894693337,0.001241645428568258,0.00334848857268558
method1,14,1000,0.002305936999619007,0.0014971998565930075,0.0029337787148376393
method2,14,1000,0.0014870930047306632,0.0012277671422842623,0.003339968002234985
method1,16,1000,0.0034850055755149306,0.0022761252870882993,0.002976061713915052
method2,16,1000,0.0017011925686217313,0.001385765283235482,0.003427178000233003
method1,16,1000,0.004019072287649449,0.0027398132847987916,0.0033694407112696873
method2,16,1000,0.001549450000831192,0.0012853950029239058,0.003416043712474805
method1,16,1000,0.003450345285403143,0.002241544714446978,0.002940383425863859
method2,16,1000,0.0015356417134171352,0.0012756674342589186,0.0033787488563185824
method1,18,1000,0.0034762259976040305,0.0022680935715990408,0.0029549102847730474
method2,18,1000,0.001650269141204522,0.001350206566192875,0.003454665287530848
method1,18,1000,0.003539052143293832,0.002258216282435959,0.002960058288798401
method2,18,1000,0.0016745635699148157,0.0013584178585525869,0.003492997566354461
method1,18,1000,0.0035126521439191754,0.0022667367136039373,0.0029631212819367647
method2,18,1000,0.001705642434119779,0.0013611715715212216,0.0034764055682379486
method1,20,1000,0.003480805431276427,0.0022954207150697975,0.002965495713786887
method2,20,1000,0.0017630508560354688,0.0014253941439424775,0.0035315790051494594
method1,20,1000,0.0035058080019163235,0.0022719948569179644,0.0029850511429166155
method2,20,1000,0.0017674807105712326,0.0014274598589898752,0.0035443695752681898
method1,20,1000,0.003498644572183756,0.0023673262829626246,0.0030248898588719647
method2,20,1000,0.0017460698540422267,0.0014158062819790626,0.003529354283403206
method1,4,10000,0.047517635144426355,0.009575232859268519,0.002966204286037412
method2,4,10000,0.021770582858672633,0.010230700857521566,0.003084383572318724
method1,4,10000,0.04646266185903057,0.009204212858873819,0.002863679430447519
method2,4,10000,0.017812151572018462,0.008364247145696677,0.0025027261414964285
method1,4,10000,0.032356868712148365,0.006421308430227717,0.0019863288595973116
method2,4,10000,0.012958291999114278,0.00602955614158418,0.0018113400001311675
method1,6,10000,0.03164737399908647,0.005785794569029739,0.0015265724297413336
method2,6,10000,0.011389954851308306,0.005781464141494196,0.0015461575738819583
method1,6,10000,0.030365191720193252,0.005557657142552281,0.0014546868582588754
method2,6,10000,0.011463057145842217,0.005771137996427049,0.001530413858875233
method1,6,10000,0.03015879428754228,0.00550914799844447,0.001447134426728423
method2,6,10000,0.011398874426959082,0.0057560824248607135,0.001542266718128563
method1,8,10000,0.04057949014531914,0.006449194859929516,0.0014599849985513305
method2,8,10000,0.012640000855234186,0.006616331429021167,0.0015457385722714076
method1,8,10000,0.04171587628661655,0.006448236996740369,0.0014642555719806946
method2,8,10000,0.012508671857566307,0.006474386574284706,0.0015456588548009417
method1,8,10000,0.04155679057086153,0.006402920428497184,0.0014584385727565469
method2,8,10000,0.012634982571138867,0.006506503289399136,0.0015624502827579687
method1,10,10000,0.057078608999810446,0.00844593985987428,0.0014877517138042354
method2,10,10000,0.013838823999062047,0.007426614856480488,0.0016338765729285245
method1,10,10000,0.05682333371701783,0.008309661999062103,0.0014681362850491755
method2,10,10000,0.013963737716299615,0.007353762146002347,0.0015642658524614359
method1,10,10000,0.057370200857154226,0.008368736571615696,0.0014498982886185072
method2,10,10000,0.013753020857361012,0.0073351245726891124,0.0015692247169291867
method1,12,10000,0.056802221713171876,0.00852201514395087,0.0015031859989643895
method2,12,10000,0.01535173757292796,0.00827364442479198,0.0016189008601941168
method1,12,10000,0.05675637671291562,0.008498818428571602,0.001472346713334056
method2,12,10000,0.015257663573720492,0.008206378423242964,0.0015948162867321766
method1,12,10000,0.05640200828409953,0.008369195285402904,0.0014584585733246058
method2,12,10000,0.015253742285754665,0.008172436143338149,0.001585926573690293
method1,14,10000,0.056691654427725426,0.00853803871515473,0.0014745417159117227
method2,14,10000,0.016985285289203084,0.009100669570865907,0.0016316317113315953
method1,14,10000,0.05636229871431299,0.008419180712995253,0.0014614815694845415
method2,14,10000,0.017075069142655202,0.009239900715848697,0.001643803997597258
method1,14,10000,0.05642550371287923,0.00853431700254857,0.0014738831419630774
method2,14,10000,0.016946264430381625,0.009173492576727378,0.0016235201411680983
method1,16,10000,0.10336259585788607,0.01588152385790766,0.0015624004299752414
method2,16,10000,0.018821597712563483,0.010050962286186405,0.001725227285143254
method1,16,10000,0.10311662857254435,0.01551038414098522,0.0015358612851871709
method2,16,10000,0.019345048143545034,0.010141863855616455,0.0016894591431732156
method1,16,10000,0.10232789500358715,0.01564715056987812,0.0014992251422622108
method2,16,10000,0.01876628414278717,0.010060121427938742,0.0016783247161324003
method1,18,10000,0.10388682285598147,0.015681092714658007,0.0015586188570263662
method2,18,10000,0.021210434139772718,0.010972879860284073,0.0017032377114186861
method1,18,10000,0.10311038142910027,0.01583668628882151,0.0015477540000574663
method2,18,10000,0.02140181557167255,0.011215424000900904,0.0017500404293449329
method1,18,10000,0.10450727014228635,0.015607979857512484,0.001564226283725085
method2,18,10000,0.02145104271559311,0.01112861285634738,0.0017343264293491042
method1,20,10000,0.10485086228748385,0.01591156457184947,0.0015075361443450674
method2,20,10000,0.023928247001354715,0.012256837855342642,0.0017317721420632942
method1,20,10000,0.10786934585485142,0.015541611715369592,0.00153939299551504
method2,20,10000,0.024058957430367758,0.012244525856138872,0.0017757217179418408
method1,20,10000,0.10566246157187768,0.015963385569713346,0.00154835257438078
method2,20,10000,0.023728034999554178,0.01236561857097383,0.0017425377133934359
