distribution,method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
uniform_small,method1,4,100,0.00011156642826140992,7.902014060943787e-05,0.0023862328567442353
uniform_small,method2,4,100,8.581485599279404e-05,7.391199635873948e-05,0.001746577859324004
uniform_small,method1,6,100,0.00010673728996023004,8.09860004145386e-05,0.002487253142005232
uniform_small,method2,6,100,0.00011673457421628492,0.000105909288062581,0.0022663254307449926
uniform_small,method1,8,100,8.838871560458626e-05,7.224543203067566e-05,0.001986322573169933
uniform_small,method2,8,100,0.00011946813901886344,0.00011803142634952175,0.0022579747123277877
uniform_small,method1,10,100,0.00011620571396114039,8.622399972019983e-05,0.0022470097194725114
uniform_small,method2,10,100,0.00013852471602149308,0.00013723800033663532,0.0022022911434760317
uniform_small,method1,12,100,0.00012623314354901334,9.76680000478934e-05,0.002587505429151601
uniform_small,method2,12,100,0.00011637557015222098,0.00011635543238038995,0.0018391971430641466
uniform_small,method1,14,100,0.00011165585601702332,9.113271828807359e-05,0.002364003427958648
uniform_small,method2,14,100,0.000141687855440458,0.00012951528645187085,0.002311872289283201
uniform_small,method1,16,100,0.00010986028480276997,9.035471469230418e-05,0.0023066142852517907
uniform_small,method2,16,100,0.00016881628419339125,0.0001816468554482396,0.0023188461429007085
uniform_small,method1,18,100,9.530328679829836e-05,7.938956800249539e-05,0.0018721622826498269
uniform_small,method2,18,100,0.0001677982841751405,0.00018069885637877242,0.0022467001399490982
uniform_small,method1,20,100,0.00013443414146812365,0.00010433257141682719,0.002477395429325822
uniform_small,method2,20,100,0.0001675587139158909,0.00018509899590363993,0.0021250070026975925
uniform_small,method1,4,1000,0.0008540474289994952,0.0005976208568816739,0.002100323287387645
uniform_small,method2,4,1000,0.0012672875725132013,0.0008633364299644849,0.0023184571411028238
uniform_small,method1,6,1000,0.0008297727139766461,0.0006047245738695242,0.001995441713786152
uniform_small,method2,6,1000,0.0012982871474897756,0.0008714478566876746,0.002135702712361568
uniform_small,method1,8,1000,0.0006885541432503876,0.0005112174299678632,0.0016089907148852944
uniform_small,method2,8,1000,0.0013796321415741528,0.0008673377139660131,0.0020498179967814523
uniform_small,method1,10,1000,0.0008993844281316601,0.0006923058556692142,0.0020412078572137815
uniform_small,method2,10,1000,0.001351336857104408,0.000899783574693304,0.001695384001193036
uniform_small,method1,12,1000,0.0010960674283394059,0.0007831891458148935,0.002298981714245331
uniform_small,method2,12,1000,0.001779303143848665,0.0011155628599226475,0.0021414495692754698
uniform_small,method1,14,1000,0.0012510047132049554,0.0009596774283896334,0.002695300000985818
uniform_small,method2,14,1000,0.0015946134288762031,0.0010820491443155333,0.002116745855476308
uniform_small,method1,16,1000,0.0011282041398642053,0.0008445889980066568,0.0022323627157935073
uniform_small,method2,16,1000,0.0024591768555442934,0.0017071571408970548,0.002122562289254607
uniform_small,method1,18,1000,0.0011974962835665792,0.000910858717231479,0.0023216997152693303
uniform_small,method2,18,1000,0.0025796830013860017,0.0016168529941101692,0.0021398432831379716
