distribution,method,n,max_bits,raw_space_usage,compressed_space_usage,compression_ratio
uniform_small,method1,10000,4,320000,50048,0.1564
uniform_small,method1,10000,8,320000,90048,0.2814
uniform_small,method1,10000,12,320000,130048,0.4064
uniform_small,method1,10000,16,320000,170048,0.5314
uniform_small,method1,10000,20,320000,210048,0.6564
uniform_small,method2,10000,4,320000,53408,0.1669
uniform_small,method2,10000,8,320000,106752,0.3336
uniform_small,method2,10000,12,320000,160064,0.5002
uniform_small,method2,10000,16,320000,320064,1.0002
uniform_small,method2,10000,20,320000,320064,1.0002
skewed,method1,10000,4,320000,50048,0.1564
skewed,method1,10000,8,320000,90048,0.2814
skewed,method1,10000,12,320000,130048,0.4064
skewed,method1,10000,16,320000,170048,0.5314
skewed,method1,10000,20,320000,210048,0.6564
skewed,method2,10000,4,320000,53408,0.1669
skewed,method2,10000,8,320000,106752,0.3336
skewed,method2,10000,12,320000,160064,0.5002
skewed,method2,10000,16,320000,320064,1.0002
skewed,method2,10000,20,320000,320064,1.0002
outlier,method1,10000,4,320000,50048,0.1564
outlier,method1,10000,8,320000,90048,0.2814
outlier,method1,10000,12,320000,130048,0.4064
outlier,method1,10000,16,320000,170048,0.5314
outlier,method1,10000,20,320000,210048,0.6564
outlier,method2,10000,4,320000,53408,0.1669
outlier,method2,10000,8,320000,106752,0.3336
outlier,method2,10000,12,320000,160064,0.5002
outlier,method2,10000,16,320000,320064,1.0002
outlier,method2,10000,20,320000,320064,1.0002
